calc_forces_ms,update_points_ms,update_bitmap_ms
0.008704,0.064192,0.023968
0.001664,0.041024,0.019392
0.001632,0.040832,0.015776
0.001664,0.04032,0.017088
0.001632,0.039776,0.017056
0.00192,0.039936,0.01744
0.001664,0.058176,0.020352
0.001664,0.039232,0.0152
0.001632,0.070272,0.018272
0.001664,0.040512,0.014464
0.001632,0.039776,0.015456
0.001632,0.0448,0.014208
0.001632,0.040224,0.014528
0.001632,0.044448,0.01456
0.001664,0.040064,0.014592
0.001632,0.038912,0.014336
0.001664,0.041216,0.0136
0.001632,0.040864,0.01456
0.001664,0.038496,0.014016
0.001664,0.04112,0.014336
0.001632,0.04032,0.014592
0.001632,0.040128,0.014592
0.001664,0.039136,0.01472
0.001632,0.040768,0.013728
0.001664,0.039776,0.0144
0.001632,0.040736,0.014848
0.001632,0.040288,0.014336
0.001664,0.041504,0.01472
0.001664,0.041664,0.014688
0.001632,0.0408,0.014944
0.001664,0.039008,0.015168
0.001984,0.041856,0.015328
0.001632,0.040544,0.014336
0.001632,0.0608,0.017856
0.001632,0.041024,0.017024
0.001664,0.040704,0.01488
0.001632,0.040352,0.01456
0.003104,0.04,0.014336
0.001632,0.040256,0.018336
0.001632,0.051968,0.014496
0.001632,0.039424,0.014656
0.001632,0.039488,0.014912
0.001632,0.039936,0.021792
0.001664,0.039776,0.014656
0.001632,0.040416,0.015008
0.001632,0.040384,0.014464
0.001632,0.040384,0.015456
0.001632,0.041536,0.014464
0.001696,0.040032,0.014976
0.001632,0.040832,0.015104
0.001632,0.03968,0.014784
0.001632,0.040704,0.014496
0.001664,0.03952,0.01488
0.001632,0.040864,0.014688
0.001664,0.039104,0.014432
0.001632,0.04064,0.01392
0.001632,0.040096,0.013856
0.001632,0.04032,0.014048
0.001632,0.038976,0.014592
0.002752,0.041312,0.01488
0.001632,0.04064,0.014848
0.001632,0.03952,0.015584
